disease,first_line_treatment,medications,home_remedies,lifestyle_changes,specialist,emergency_signs,prognosis,duration
Osteoarthritis,Pain management + physiotherapy + weight loss,"Paracetamol (500-1000mg 3-4x daily for mild pain), Ibuprofen (400mg 3x daily for flares), Diclofenac gel (topical), Celecoxib (100-200mg twice daily), Intra-articular corticosteroid injection for severe flares","Ice/heat packs, Gentle exercise, Weight reduction, Physiotherapy, Glucosamine + Chondroitin supplements (evidence limited)","Weight loss (1 kg less = 4 kg less knee force), Low-impact exercise (swimming, cycling), Physiotherapy, Assistive devices",Rheumatologist / Orthopaedic Surgeon,"Inability to bear weight, Severe constant pain, Rapid joint deterioration",Manageable — progressive but joint replacement very effective,Chronic — requires ongoing management; joint replacement if severe
Stroke,Emergency — CALL 911 IMMEDIATELY — clot-busting or clot removal within 4.5 hours,"tPA (Alteplase IV — within 4.5h of onset for ischaemic stroke), Aspirin 300mg (after ruling out haemorrhage), Clopidogrel, Statins, Antihypertensives","NONE — this is a medical emergency — time is brain tissue","FAST recognition: Face drooping, Arm weakness, Speech slurred, Time to call 911, Control blood pressure and diabetes, No smoking",Neurologist / Stroke Unit,"ANY sudden face drooping, Arm weakness, Speech difficulty — THIS IS THE EMERGENCY",Variable — depends on speed of treatment,Hospitalization essential; rehabilitation weeks to months
Parkinson's Disease,Dopamine replacement + physiotherapy,"Levodopa/Carbidopa (standard first-line, dose titrated), Pramipexole (0.125-1.5mg 3x daily — dopamine agonist), Entacapone (COMT inhibitor adjunct), Rasagiline (1mg once daily — MAO-B inhibitor), Trihexyphenidyl (for tremor)","Exercise and physiotherapy (proven benefit), Speech therapy, Occupational therapy, Good sleep hygiene","Regular aerobic exercise, Physiotherapy, Speech therapy, Assistive devices, Fall prevention, Support groups",Neurologist,"Sudden inability to swallow, Falls with injury, Severe confusion, Uncontrolled movements",Progressive — symptoms worsen over years; medication keeps quality of life,Lifelong — progressive but manageable
Alzheimer's Disease,Cholinesterase inhibitors + memantine + supportive care,"Donepezil (5-10mg once daily), Rivastigmine (3-12mg daily or patch), Galantamine (8-24mg daily), Memantine (10-20mg daily — moderate-severe), Antidepressants if depression present","Mental stimulation activities, Reality orientation, Structured routine, Social engagement, Music therapy","Cognitive stimulation, Structured daily routine, Fall prevention, Caregiver support, Legal/financial planning early, Memory aids",Neurologist / Geriatrician,"Sudden severe confusion, Inability to swallow, Falls with injury, Agitation requiring sedation",Progressive — no cure; treatment slows progression,Lifelong — average 8-10 years from diagnosis
Meningitis,Emergency antibiotics + corticosteroids — DO NOT DELAY,"Ceftriaxone (2g IV every 12h — bacterial), Dexamethasone (0.15mg/kg every 6h for 4 days — reduces complications), Acyclovir (10mg/kg every 8h — if viral/HSV suspected), Ampicillin (if Listeria suspected)","NONE — this is a medical emergency requiring hospitalization","Meningococcal vaccine, Pneumococcal vaccine, Hib vaccine, Close contact prophylaxis with Rifampicin",Neurologist / Infectious Disease / ICU,"ANY stiff neck + fever + headache combination — GO TO EMERGENCY IMMEDIATELY, Purple rash (petechiae)",High mortality if untreated — good if treated early,2-4 weeks hospitalization; recovery months
Eczema,Emollients + topical corticosteroids + trigger avoidance,"Hydrocortisone 1% cream (mild), Betamethasone valerate 0.1% (moderate-severe), Tacrolimus ointment (steroid-sparing), Cetirizine (10mg for itch), Dupilumab (injection for severe refractory eczema)","Oatmeal baths, Coconut oil, Fragrance-free moisturiser, Wet wrapping, Avoid scratching","Moisturise 2-3x daily, Identify and avoid triggers (soaps, dust mites, food), Cotton clothing, Short lukewarm showers, Antihistamine for flares",Dermatologist / Allergist,"Weeping infected skin (staph infection), Eczema herpeticum (viral — EMERGENCY), Severe sleep disruption",Chronic — 60% of children improve significantly by adulthood,Chronic with flares and remissions
Sepsis,Emergency IV antibiotics + fluids + organ support — DO NOT DELAY,"Broad-spectrum IV antibiotics within 1 hour (Piperacillin-Tazobactam or Meropenem + Vancomycin), IV fluids (30 mL/kg in first 3h), Vasopressors (Noradrenaline) if hypotensive, Oxygen","NONE — this is a life-threatening emergency requiring ICU care","Early recognition (qSOFA score), Prompt antibiotic use for infections, Infection source control, Vaccination",ICU / Infectious Disease,"ANY: rapid breathing + confusion + low blood pressure — CALL 911, Temperature above 38.5°C or below 36°C with suspected infection",High mortality without treatment; 20-30% even with treatment,ICU stay — days to weeks
Dehydration,Oral rehydration + treat underlying cause,"ORS (Oral Rehydration Salts — WHO formula), IV fluids (Normal Saline or Ringer's Lactate for severe), Ondansetron (4mg for nausea/vomiting), Zinc (20mg daily in children with diarrhea)","ORS at home: 1 litre water + 6 tsp sugar + 0.5 tsp salt, Coconut water, Clear broths, Avoid caffeine","Drink 8+ glasses water daily, Increase intake during exercise/heat/illness, Avoid excessive alcohol, Monitor urine colour",General Physician / Emergency Medicine,"Confusion, No urine output for 8+ hours, Rapid heartbeat, Sunken eyes, Fainting",Excellent with prompt rehydration,Hours with proper treatment
Sleep Apnea,CPAP therapy + weight loss + positional therapy,"CPAP machine (first-line — maintains airway pressure during sleep), Mandibular advancement device (mild-moderate), Modafinil (200mg for residual daytime sleepiness), Treat underlying hypothyroidism","Weight loss (10% weight loss reduces AHI by 26%), Sleep on side, Elevate head of bed, Avoid alcohol before bed","Weight loss, Avoid alcohol and sedatives, Positional therapy, Quit smoking, Regular CPAP use",Sleep Specialist / Pulmonologist / ENT,"SpO2 consistently below 90% during sleep, Severe daytime sleepiness causing accidents, Associated arrhythmias",Good with CPAP compliance — untreated increases cardiac risk,Lifelong management
Chronic Fatigue Syndrome,Graded exercise therapy + cognitive behavioural therapy + symptom management,"Low-dose Amitriptyline (10-50mg nightly — for sleep/pain), Melatonin (0.5-5mg — sleep), Low-dose Naltrexone (investigational), NSAIDs for pain, Vitamin B12 injections if deficient","Pacing activities, Sleep hygiene, Gentle yoga, Omega-3 rich diet, Magnesium supplementation","Pacing (avoid boom-bust activity cycles), Graded exercise therapy (carefully titrated), CBT, Good sleep hygiene",Rheumatologist / Neurologist / General Physician,"Cardiac symptoms, Unexplained weight loss, New neurological symptoms",Variable — 50% improve; 10% recover fully,Months to years
Fibromyalgia,Multimodal — exercise + CBT + medication,"Pregabalin (75-300mg twice daily — FDA approved), Duloxetine (30-60mg once daily), Amitriptyline (10-50mg nightly for sleep), Tramadol (50-100mg for breakthrough pain), Cyclobenzaprine (5-10mg for muscle spasm)","Warm baths, Gentle massage, Low-impact exercise, Tai chi, Yoga, Mindfulness","Aerobic exercise 30 min 3x weekly (most evidence), CBT for pain catastrophizing, Sleep hygiene, Stress management",Rheumatologist / Pain Specialist,"Sudden severe joint swelling (rule out inflammatory arthritis), New neurological symptoms",Chronic — management reduces severity; no cure,Lifelong — symptoms fluctuate
Heat Stroke,Emergency cooling — CALL 911 IMMEDIATELY,"Aggressive cooling: ice water immersion or cold packs to neck/armpits/groin (prehospital), IV fluids, Benzodiazepines for shivering/seizures, Treat in ICU","NONE — move to cool area immediately, Remove clothing, Cold water sponging while awaiting ambulance","Avoid strenuous activity in extreme heat, Wear light clothing, Stay hydrated, Acclimatize gradually, Never leave children in cars",Emergency Medicine / ICU,"Core temperature above 40°C with neurological symptoms — THIS IS THE EMERGENCY",High mortality if untreated; good neurological outcome if cooled rapidly,ICU stay required; recovery days to weeks
Hypothermia,Gradual rewarming — CALL 911 IF SEVERE,"Passive rewarming (mild) — warm blankets, warm environment; Active rewarming (severe) — warm IV fluids, warm humidified oxygen, Warm irrigation of body cavities; Cardiac monitoring; Vasopressors if needed","Remove wet clothing, Insulate with dry blankets, Warm sweet drinks if conscious, Avoid alcohol","Dress in layers in cold weather, Stay dry, Avoid alcohol in cold, Check on elderly neighbours in winter, Buddy system in outdoor activities",Emergency Medicine / ICU,"Core temperature below 32°C, Cardiac arrest (do not declare death until warm and dead), Loss of consciousness",Good if rewarmed promptly — 'Not dead until warm and dead',Hours to days depending on severity
Leukemia,Chemotherapy + bone marrow transplant,"Induction chemotherapy (protocol depends on type: ALL vs AML vs CLL vs CML), Imatinib (400mg daily — CML first-line), Rituximab (for B-cell leukemias), Stem cell transplant for eligible patients, Supportive care: blood transfusions, G-CSF","Nutritious high-protein diet, Infection prevention, Rest, Emotional support","Infection prevention (avoid crowds, wash hands), Vaccination updates, Dental care before chemotherapy, Psychological support",Haematologist / Oncologist,"Fever above 38°C in immunocompromised (neutropenic fever — EMERGENCY), Severe bleeding, Difficulty breathing",Variable — ALL in children 90% cure rate; AML varies; CML excellent with imatinib,Months to years depending on type and response
Breast Cancer,Surgery + radiation + chemotherapy + hormone therapy,"Tamoxifen (20mg daily — hormone receptor positive, premenopausal), Anastrozole/Letrozole (postmenopausal ER+), Trastuzumab (Herceptin — HER2+), Chemotherapy (AC-T or TC regimen), Surgery (lumpectomy or mastectomy)","Healthy diet rich in antioxidants, Exercise (reduces recurrence), Emotional support, Mindfulness","Monthly breast self-exam, Annual mammogram from age 40, Healthy weight, Limit alcohol, Genetic testing if family history (BRCA)",Oncologist / Breast Surgeon,"Sudden neurological symptoms (brain metastasis), Bone pain, Difficulty breathing",Stage-dependent — Stage I: >95% 5-year survival; Stage IV: 28%,Months to years depending on stage
Polycystic Ovary Syndrome,Combined oral contraceptive pill + metformin + lifestyle,"Combined OCP (Ethinylestradiol + Levonorgestrel) for menstrual regulation, Metformin (500-2000mg daily) for insulin resistance, Clomiphene (50-150mg) for ovulation induction, Spironolactone (25-100mg) for hirsutism","Low-glycemic diet, Exercise 30 min/day, Weight loss (5-10% improves ovulation), Spearmint tea (reduces androgens — limited evidence)","Weight loss (most impactful treatment), Regular exercise, Low-GI diet, Regular monitoring of glucose and lipids",Gynaecologist / Endocrinologist,"Severe pelvic pain, Signs of ovarian torsion, Pregnancy complications",Good — manageable; fertility treatment effective,Lifelong condition — symptoms improve with weight loss and treatment
Bronchitis,Bronchodilators + cough suppressants + rest,"Dextromethorphan cough syrup (15mg every 4-6h), Salbutamol inhaler (if wheezing), Amoxicillin (500mg 3x daily only if bacterial — green sputum + fever), Paracetamol (500mg for fever)","Steam inhalation, Honey and ginger tea, Warm salt water gargle, Turmeric in warm milk, Stay hydrated","Quit smoking, Avoid air pollutants, Steam inhalation twice daily, Rest",General Physician / Pulmonologist,"Coughing blood, High fever above 39°C, Severe breathing difficulty, Symptoms lasting more than 3 weeks",Good — most resolve without antibiotics,Acute: 1-3 weeks; Chronic: ongoing management
Strep Throat,Antibiotics (mandatory to prevent rheumatic fever) + pain relief,"Amoxicillin (500mg 3x daily for 10 days — first-line), Azithromycin (500mg daily for 5 days — penicillin allergic), Paracetamol or Ibuprofen for pain and fever","Salt water gargle, Honey and lemon, Cold ice cream or cold liquids, Throat lozenges, Rest","Complete the full antibiotic course, Rest, Stay hydrated, Avoid sharing utensils",ENT Specialist / General Physician,"Difficulty breathing or swallowing, Drooling (epiglottitis), Rash (scarlet fever), Symptoms not improving after 48h antibiotics",Excellent with antibiotics,7-10 days
Tonsillitis,Antibiotics if bacterial + supportive care,"Amoxicillin (500mg 3x daily for 10 days), Ibuprofen (400mg for pain and fever), Benzydamine gargle (throat spray for pain)","Cold fluids and ice cream, Salt water gargle, Honey and lemon tea, Rest, Throat lozenges","Adequate hydration, Rest, Complete antibiotic course, Tonsillectomy considered if recurrent (5+ episodes/year)",ENT Specialist,"Difficulty breathing or swallowing, Neck stiffness, Drooling, Peritonsillar abscess (very severe pain one side)",Excellent with treatment; surgery if recurrent,7-10 days
Constipation,Lifestyle modification + laxatives if needed,"Bisacodyl (5-10mg at bedtime — stimulant laxative), Lactulose (15-30ml twice daily — osmotic), Psyllium husk (Isabgol — 1 tsp in water daily), Docusate (stool softener)","High-fibre diet (fruits, vegetables, bran), Prune juice, Warm water with lemon in morning, Castor oil (traditional), Increased water intake","High-fibre diet (25-30g/day), 8+ glasses water daily, Regular exercise, Don't ignore urge to defecate",Gastroenterologist (if chronic),"Blood in stool, Unexplained weight loss, Constipation alternating with diarrhoea, Severe abdominal pain",Good with lifestyle changes,Days with laxatives; lifestyle changes prevent recurrence
Diarrhea,Oral rehydration + treat underlying cause,"ORS (Oral Rehydration Salts — standard WHO formula), Loperamide (2mg after each loose stool — max 8mg/day, NOT for bloody diarrhoea), Zinc (20mg/day in children), Metronidazole (400mg 3x daily if parasitic)","ORS: 1L water + 6 tsp sugar + 0.5 tsp salt, Coconut water, BRAT diet (Banana Rice Applesauce Toast), Ginger tea, Yogurt with probiotics","Avoid solid food for a few hours, Reintroduce bland foods gradually, Hand hygiene, Safe water and food",General Physician / Gastroenterologist (if persistent),"Blood in stool, High fever, Signs of severe dehydration, Duration more than 3 days in adults or 1 day in infants",Excellent — most self-limiting,12-72 hours; persistent cases need investigation
Vertigo,Treat underlying cause + vestibular rehabilitation,"Betahistine (8-16mg 3x daily — for Meniere's), Prochlorperazine (5-10mg for acute nausea/dizziness), Cinnarizine (25mg 3x daily), Epley manoeuvre (for BPPV — most effective non-drug treatment)","Epley manoeuvre (specific head movements for BPPV), Sit or lie down when dizzy, Avoid sudden head movements, Ginger for nausea, Adequate hydration","Avoid triggers, Fall prevention, Vestibular rehabilitation exercises, Limit caffeine and salt (Meniere's), Regular sleep",ENT / Neurologist,"Sudden severe dizziness with headache, Double vision, Difficulty walking or speaking, Hearing loss",Good for BPPV with manoeuvres; Meniere's is chronic,BPPV: days with manoeuvre; Meniere's: lifelong management
Hemorrhoids,Dietary changes + topical treatment + procedures,"Hydrocortisone 1% anorectal cream (topical — reduces inflammation), Nifedipine gel (topical for pain), Docusate or Lactulose (stool softeners), Daflon (Micronized purified flavonoid fraction — oral vascular tone)","High-fibre diet, Sitz baths (warm water 15 min 3x daily), Cold compress, Witch hazel application, Psyllium husk for stool softening","High-fibre diet, 8+ glasses water daily, Avoid straining, Don't sit on toilet too long, Regular exercise",Colorectal Surgeon (if severe),"Severe bleeding, Prolapsed haemorrhoid that won't reduce, Severe pain, Signs of infection",Good — 80% improve with conservative treatment; banding/surgery for severe,Weeks with treatment; lifestyle changes prevent recurrence
